id,name,state,rainfall,rank,deviation,mean_rainfall,
NJ-017,Hudson County,New Jersey,44.17,55,-1.13,45.3,
NJ-019,Hunterdon County,New Jersey,45.92,62,-0.08,46,
NJ-021,Mercer County,New Jersey,42.1,45,-2.56,44.66,
NJ-023,Middlesex County,New Jersey,43.3,48,-2.02,45.32,
NJ-025,Monmouth County,New Jersey,40.73,33,-4.23,44.96,
NJ-027,Morris County,New Jersey,46.59,49,-2,48.59,
NJ-029,Ocean County,New Jersey,38.75,24,-5.7,44.45,
NJ-031,Passaic County,New Jersey,45.47,50,-2.1,47.57,
NJ-033,Salem County,New Jersey,35.15,11,-7.52,42.67,
NJ-035,Somerset County,New Jersey,44.35,45,-2.16,46.51,
NJ-037,Sussex County,New Jersey,45.42,62,0.22,45.2,
NJ-039,Union County,New Jersey,43.52,41,-3.04,46.56,
NJ-041,Warren County,New Jersey,47.5,69,1.37,46.13,
NM-001,Bernalillo County,New Mexico,9.42,30,-2.57,11.99,
NM-003,Catron County,New Mexico,16.43,74,0.58,15.85,
NM-005,Chaves County,New Mexico,8.85,12,-5.06,13.91,
NM-006,Cibola County,New Mexico,13.57,82,0.5,13.07,
NM-007,Colfax County,New Mexico,15.33,46,-1.6,16.93,
NM-009,Curry County,New Mexico,10.24,4,-6.67,16.91,
NM-011,De Baca County,New Mexico,10.44,28,-3.7,14.14,
NM-013,Dona Ana County,New Mexico,8.81,55,-0.86,9.67,
NM-015,Eddy County,New Mexico,8.56,16,-4.68,13.24,
NM-017,Grant County,New Mexico,16.64,87,1.17,15.47,
NM-019,Guadalupe County,New Mexico,10.71,29,-3.56,14.27,
NM-021,Harding County,New Mexico,11.54,18,-4.22,15.76,
NM-023,Hidalgo County,New Mexico,13.89,89,1.31,12.58,
NM-025,Lea County,New Mexico,8.98,9,-6.06,15.04,
NM-027,Lincoln County,New Mexico,10.5,17,-4.13,14.63,
NM-028,Los Alamos County,New Mexico,17.71,63,-0.86,18.57,
NM-029,Luna County,New Mexico,10.56,74,0.18,10.38,
NM-031,McKinley County,New Mexico,13.08,94,1.08,12,
NM-033,Mora County,New Mexico,16.61,50,-1.67,18.28,
NM-035,Otero County,New Mexico,11.99,53,-1.07,13.06,
NM-037,Quay County,New Mexico,10.31,8,-6.01,16.32,
NM-039,Rio Arriba County,New Mexico,16.84,71,0.23,16.61,
NM-041,Roosevelt County,New Mexico,10.14,6,-6.12,16.26,
NM-043,Sandoval County,New Mexico,11.7,42,-1.69,13.39,
NM-045,San Juan County,New Mexico,9.36,63,-0.14,9.5,
NM-047,San Miguel County,New Mexico,12.47,22,-3.99,16.46,
NM-049,Santa Fe County,New Mexico,13.64,52,-1.08,14.72,
NM-051,Sierra County,New Mexico,11.45,62,-0.3,11.75,
NM-053,Socorro County,New Mexico,10.76,60,-0.85,11.61,
NM-055,Taos County,New Mexico,18.08,72,0.28,17.8,
NM-057,Torrance County,New Mexico,13.07,52,-1.38,14.45,
NM-059,Union County,New Mexico,12.53,21,-3.78,16.31,
NM-061,Valencia County,New Mexico,8.52,36,-1.79,10.31,
NY-001,Albany County,New York,40.4,83,3.11,37.29,
NY-003,Allegany County,New York,39.68,89,2.68,37,
NY-005,Bronx County,New York,43.43,51,-1.63,45.06,
NY-007,Broome County,New York,44.49,102,5.6,38.89,
NY-009,Cattaraugus County,New York,44.49,84,1.89,42.6,
NY-011,Cayuga County,New York,43.81,110,6.82,36.99,
NY-013,Chautauqua County,New York,43.9,74,1.3,42.6,
NY-015,Chemung County,New York,37.08,84,2.39,34.69,
NY-017,Chenango County,New York,46.43,102,5.42,41.01,
NY-019,Clinton County,New York,43.33,117,8.85,34.48,
NY-021,Columbia County,New York,41.71,74,1.24,40.47,
NY-023,Cortland County,New York,45.09,95,4.01,41.08,
NY-025,Delaware County,New York,47.4,97,4.8,42.6,
NY-027,Dutchess County,New York,41.48,51,-2.09,43.57,
NY-029,Erie County,New York,42.55,101,4.3,38.25,
NY-031,Essex County,New York,45.9,106,4.94,40.96,
NY-033,Franklin County,New York,47.28,117,8.26,39.02,
NY-035,Fulton County,New York,52.04,107,6.46,45.58,
NY-037,Genesee County,New York,36.97,92,2.98,33.99,
NY-039,Greene County,New York,44.76,77,1.95,42.81,
NY-041,Hamilton County,New York,49.82,84,2.99,46.83,
NY-043,Herkimer County,New York,54.4,112,7.52,46.88,
NY-045,Jefferson County,New York,45.27,115,6.48,38.79,
NY-047,Kings County,New York,41.99,44,-2.47,44.46,
NY-049,Lewis County,New York,52.6,111,7.27,45.33,
NY-051,Livingston County,New York,37.23,106,4.84,32.39,
NY-053,Madison County,New York,47.22,110,6.83,40.39,
NY-055,Monroe County,New York,35.12,94,3.21,31.91,
NY-057,Montgomery County,New York,46.43,117,7.9,38.53,
NY-059,Nassau County,New York,36.38,14,-8.17,44.55,
NY-061,New York County,New York,43.66,53,-1.22,44.88,
NY-063,Niagara County,New York,34.87,87,2.6,32.27,
NY-065,Oneida County,New York,51.66,109,6.58,45.08,
NY-067,Onondaga County,New York,44.36,107,5.87,38.49,
NY-069,Ontario County,New York,37.27,104,4.91,32.36,
NY-071,Orange County,New York,45.06,71,1.44,43.62,
NY-073,Orleans County,New York,36.81,105,4.34,32.47,
NY-075,Oswego County,New York,48.7,108,6.63,42.07,
NY-077,Otsego County,New York,51.33,119,9.94,41.39,
NY-079,Putnam County,New York,43.67,46,-3.07,46.74,
NY-081,Queens County,New York,40.44,37,-3.83,44.27,
NY-083,Rensselaer County,New York,42.32,89,3.08,39.24,
NY-085,Richmond County,New York,43.81,50,-1.79,45.6,
NY-087,Rockland County,New York,44.06,46,-2.66,46.72,
NY-089,St. Lawrence County,New York,43.34,109,4.89,38.45,
NY-091,Saratoga County,New York,44.47,87,3.46,41.01,
NY-093,Schenectady County,New York,40.56,92,3.46,37.1,
NY-095,Schoharie County,New York,44.01,107,5.37,38.64,
NY-097,Schuyler County,New York,37.45,92,3.72,33.73,
NY-099,Seneca County,New York,39.44,107,6.02,33.42,
NY-101,Steuben County,New York,36.77,85,2.44,34.33,
NY-103,Suffolk County,New York,36.44,14,-8.07,44.51,
NY-105,Sullivan County,New York,51.18,97,5.59,45.59,
NY-107,Tioga County,New York,41.18,95,4.24,36.94,
NY-109,Tompkins County,New York,40.42,96,3.81,36.61,
NY-111,Ulster County,New York,50.09,80,2.86,47.23,
NY-113,Warren County,New York,44.08,77,2.12,41.96,
NY-115,Washington County,New York,39.99,77,2.13,37.86,
NY-117,Wayne County,New York,32.93,50,-1.21,34.14,
NY-119,Westchester County,New York,44.2,48,-2.84,47.04,
NY-121,Wyoming County,New York,41.66,103,4.59,37.07,
NY-123,Yates County,New York,38.75,117,6.66,32.09,
NC-001,Alamance County,North Carolina,38.43,21,-6.7,45.13,
NC-003,Alexander County,North Carolina,40.12,26,-7.16,47.28,
NC-005,Alleghany County,North Carolina,51.9,69,0.93,50.97,
NC-007,Anson County,North Carolina,42.51,48,-3.23,45.74,
NC-009,Ashe County,North Carolina,48.37,47,-2.52,50.89,
NC-011,Avery County,North Carolina,49.74,35,-5.13,54.87,
NC-013,Beaufort County,North Carolina,41.64,9,-10.01,51.65,
NC-015,Bertie County,North Carolina,37.76,6,-11.08,48.84,
NC-017,Bladen County,North Carolina,36.16,5,-11.9,48.06,
NC-019,Brunswick County,North Carolina,46.52,29,-5.4,51.92,
NC-021,Buncombe County,North Carolina,46.14,52,-1.92,48.06,
NC-023,Burke County,North Carolina,45.84,41,-4.69,50.53,
NC-025,Cabarrus County,North Carolina,37.65,13,-8.47,46.12,
NC-027,Caldwell County,North Carolina,47.28,42,-4.26,51.54,
NC-029,Camden County,North Carolina,41.13,19,-6.91,48.04,
NC-031,Carteret County,North Carolina,45.36,11,-9.91,55.27,
NC-033,Caswell County,North Carolina,38.33,31,-5.2,43.53,
NC-035,Catawba County,North Carolina,39.39,22,-8.34,47.73,
NC-037,Chatham County,North Carolina,41.76,40,-4.41,46.17,
NC-039,Cherokee County,North Carolina,57.65,51,-1.93,59.58,
NC-041,Chowan County,North Carolina,41.81,14,-7.79,49.6,
NC-043,Clay County,North Carolina,60.31,60,-1.07,61.38,
NC-045,Cleveland County,North Carolina,35.59,2,-13.67,49.26,
NC-047,Columbus County,North Carolina,42.74,15,-6.76,49.5,
NC-049,Craven County,North Carolina,43.11,10,-9.96,53.07,
NC-051,Cumberland County,North Carolina,35.13,3,-11.88,47.01,
NC-053,Currituck County,North Carolina,40.42,18,-7.19,47.61,
NC-055,Dare County,North Carolina,43.3,13,-7.73,51.03,
NC-057,Davidson County,North Carolina,38.16,21,-7.62,45.78,
NC-059,Davie County,North Carolina,39.34,33,-6.1,45.44,
NC-061,Duplin County,North Carolina,37.12,4,-13.4,50.52,
NC-063,Durham County,North Carolina,43.63,59,-0.89,44.52,
NC-065,Edgecombe County,North Carolina,34.46,1,-12.85,47.31,
NC-067,Forsyth County,North Carolina,41.64,50,-3.03,44.67,
NC-069,Franklin County,North Carolina,41.58,30,-4.35,45.93,
NC-071,Gaston County,North Carolina,36.22,10,-11.29,47.51,
NC-073,Gates County,North Carolina,40.45,13,-7.94,48.39,
NC-075,Graham County,North Carolina,62.21,60,-1.37,63.58,
NC-077,Granville County,North Carolina,40.48,33,-4.18,44.66,
NC-079,Greene County,North Carolina,35.79,3,-13.03,48.82,
NC-081,Guilford County,North Carolina,39.05,31,-5.68,44.73,
NC-083,Halifax County,North Carolina,36.77,5,-9.12,45.89,
NC-085,Harnett County,North Carolina,38.95,14,-8.01,46.96,
NC-087,Haywood County,North Carolina,54.16,58,-1.01,55.17,
NC-089,Henderson County,North Carolina,50.15,27,-8.28,58.43,
NC-091,Hertford County,North Carolina,38.91,10,-9.42,48.33,
NC-093,Hoke County,North Carolina,37.57,9,-9.3,46.87,
NC-095,Hyde County,North Carolina,44.4,13,-8.02,52.42,
NC-097,Iredell County,North Carolina,38.47,19,-8.31,46.78,
NC-099,Jackson County,North Carolina,62.21,62,-0.69,62.9,
NC-101,Johnston County,North Carolina,39.2,13,-7.81,47.01,
NC-103,Jones County,North Carolina,41.87,7,-10.79,52.66,
NC-105,Lee County,North Carolina,40.34,32,-6.04,46.38,
NC-107,Lenoir County,North Carolina,35.42,3,-14.71,50.13,
NC-109,Lincoln County,North Carolina,37.98,12,-9.8,47.78,
NC-111,McDowell County,North Carolina,52.95,57,-2.15,55.1,
NC-113,Macon County,North Carolina,62.97,62,-0.56,63.53,
NC-115,Madison County,North Carolina,42.89,40,-2.89,45.78,
NC-117,Martin County,North Carolina,37.08,4,-11.87,48.95,
NC-119,Mecklenburg County,North Carolina,34.94,6,-11.02,45.96,
NC-121,Mitchell County,North Carolina,48.29,46,-2.69,50.98,
NC-123,Montgomery County,North Carolina,45.78,68,-0.84,46.62,
NC-125,Moore County,North Carolina,41.68,31,-5.41,47.09,
NC-127,Nash County,North Carolina,37.59,5,-9.35,46.94,
NC-129,New Hanover County,North Carolina,44.84,21,-8.28,53.12,
NC-131,Northampton County,North Carolina,37,7,-9.21,46.21,
NC-133,Onslow County,North Carolina,43.63,8,-10.12,53.75,
NC-135,Orange County,North Carolina,41.97,46,-2.88,44.85,
NC-137,Pamlico County,North Carolina,44.36,12,-9.58,53.94,
NC-139,Pasquotank County,North Carolina,41.79,19,-6.84,48.63,
NC-141,Pender County,North Carolina,43.45,13,-8.71,52.16,
NC-143,Perquimans County,North Carolina,42.14,17,-7.17,49.31,
NC-145,Person County,North Carolina,40.46,47,-3.45,43.91,
NC-147,Pitt County,North Carolina,36.6,4,-12.61,49.21,
NC-149,Polk County,North Carolina,48.29,29,-9.38,57.67,
NC-151,Randolph County,North Carolina,41.37,35,-4.93,46.3,
NC-153,Richmond County,North Carolina,46.2,73,-0.52,46.72,
NC-155,Robeson County,North Carolina,34.6,6,-11,45.6,
NC-157,Rockingham County,North Carolina,38.92,33,-4.99,43.91,
NC-159,Rowan County,North Carolina,35.63,8,-10.97,46.6,
NC-161,Rutherford County,North Carolina,41.96,25,-9.48,51.44,
NC-163,Sampson County,North Carolina,35.54,3,-12.72,48.26,
NC-165,Scotland County,North Carolina,39.59,20,-6.59,46.18,
NC-167,Stanly County,North Carolina,43.81,60,-2.55,46.36,
NC-169,Stokes County,North Carolina,47.14,70,1.25,45.89,
NC-171,Surry County,North Carolina,48.32,65,0.74,47.58,
NC-173,Swain County,North Carolina,63.26,64,-0.24,63.5,
NC-175,Transylvania County,North Carolina,64.41,44,-5.49,69.9,
NC-177,Tyrrell County,North Carolina,43.19,14,-7.75,50.94,
NC-179,Union County,North Carolina,35.11,13,-9.67,44.78,
NC-181,Vance County,North Carolina,42.22,51,-2.5,44.72,
NC-183,Wake County,North Carolina,43.97,56,-1.82,45.79,
NC-185,Warren County,North Carolina,40.79,36,-3.75,44.54,
NC-187,Washington County,North Carolina,42.25,12,-8.38,50.63,
NC-189,Watauga County,North Carolina,49.46,43,-3.35,52.81,
NC-191,Wayne County,North Carolina,35.6,4,-12.71,48.31,
NC-193,Wilkes County,North Carolina,48.09,56,-1.69,49.78,
NC-195,Wilson County,North Carolina,37.32,4,-10.03,47.35,
NC-197,Yadkin County,North Carolina,45.65,69,0.39,45.26,
NC-199,Yancey County,North Carolina,49.73,52,-2.18,51.91,
ND-001,Adams County,North Dakota,16.76,80,0.85,15.91,
ND-003,Barnes County,North Dakota,27.78,125,8.13,19.65,
ND-005,Benson County,North Dakota,19.09,85,1.86,17.23,
ND-007,Billings County,North Dakota,18.7,106,3.29,15.41,
ND-009,Bottineau County,North Dakota,18,84,1.63,16.37,
ND-011,Bowman County,North Dakota,15.88,81,1,14.88,
ND-013,Burke County,North Dakota,19.81,109,3.44,16.37,
ND-015,Burleigh County,North Dakota,19.15,97,2.52,16.63,
ND-017,Cass County,North Dakota,27.62,123,7.36,20.26,
ND-019,Cavalier County,North Dakota,27.93,126,8.92,19.01,
ND-021,Dickey County,North Dakota,29.71,123,9.5,20.21,
ND-023,Divide County,North Dakota,15.5,72,0.41,15.09,
ND-025,Dunn County,North Dakota,18.32,88,1.82,16.5,
ND-027,Eddy County,North Dakota,20.53,93,2.53,18,
ND-029,Emmons County,North Dakota,19.87,97,2.76,17.11,
ND-031,Foster County,North Dakota,21.11,99,2.73,18.38,
ND-033,Golden Valley County,North Dakota,18.4,109,3.55,14.85,
ND-035,Grand Forks County,North Dakota,27.93,126,8.57,19.36,
ND-037,Grant County,North Dakota,18.12,84,1.38,16.74,
ND-039,Griggs County,North Dakota,25.25,118,6.32,18.93,
ND-041,Hettinger County,North Dakota,18.25,91,1.83,16.42,
ND-043,Kidder County,North Dakota,20.85,109,3.64,17.21,
ND-045,LaMoure County,North Dakota,29.17,126,9.49,19.68,
ND-047,Logan County,North Dakota,22.87,112,4.92,17.95,
ND-049,McHenry County,North Dakota,18.36,86,1.97,16.39,
ND-051,McIntosh County,North Dakota,23.42,113,5.24,18.18,
ND-053,McKenzie County,North Dakota,17.3,92,2.08,15.22,
ND-055,McLean County,North Dakota,18.8,98,2.46,16.34,
ND-057,Mercer County,North Dakota,17.38,81,1.14,16.24,
ND-059,Morton County,North Dakota,18.44,89,1.84,16.6,
ND-061,Mountrail County,North Dakota,18.8,100,2.79,16.01,
ND-063,Nelson County,North Dakota,26.42,126,7.75,18.67,
ND-065,Oliver County,North Dakota,18.17,88,1.38,16.79,
ND-067,Pembina County,North Dakota,30.12,128,10.77,19.35,
ND-069,Pierce County,North Dakota,18.44,87,1.71,16.73,
ND-071,Ramsey County,North Dakota,22.24,118,4.76,17.48,
ND-073,Ransom County,North Dakota,29.44,124,8.96,20.48,
ND-075,Renville County,North Dakota,17.87,84,1.71,16.16,
ND-077,Richland County,North Dakota,27.34,116,6.16,21.18,
ND-079,Rolette County,North Dakota,18.52,75,0.87,17.65,
ND-081,Sargent County,North Dakota,26.98,114,6.4,20.58,
ND-083,Sheridan County,North Dakota,20.38,103,3.01,17.37,
ND-085,Sioux County,North Dakota,18.69,88,1.83,16.86,
ND-087,Slope County,North Dakota,17.05,93,1.64,15.41,
ND-089,Stark County,North Dakota,19.02,100,2.53,16.49,
ND-091,Steele County,North Dakota,27.71,127,8.43,19.28,
ND-093,Stutsman County,North Dakota,24.21,119,5.72,18.49,
ND-095,Towner County,North Dakota,19.54,84,1.67,17.87,
ND-097,Traill County,North Dakota,28.53,125,8.62,19.91,
ND-099,Walsh County,North Dakota,28.44,128,9.76,18.68,
ND-101,Ward County,North Dakota,17.95,85,1.46,16.49,
ND-103,Wells County,North Dakota,19.5,80,1.62,17.88,
ND-105,Williams County,North Dakota,16.28,88,1.49,14.79,
OH-001,Adams County,Ohio,54.64,123,11.69,42.95,
OH-003,Allen County,Ohio,43.88,122,8.66,35.22,
OH-005,Ashland County,Ohio,42.58,105,5.45,37.13,
OH-007,Ashtabula County,Ohio,40.21,59,0.6,39.61,
OH-009,Athens County,Ohio,47.91,112,7.77,40.14,
OH-011,Auglaize County,Ohio,43.5,112,7.47,36.03,
OH-013,Belmont County,Ohio,50.14,120,9.3,40.84,
OH-015,Brown County,Ohio,55.3,124,11.84,43.46,
OH-017,Butler County,Ohio,45.72,94,5.15,40.57,
OH-019,Carroll County,Ohio,46.28,117,7.48,38.8,
OH-021,Champaign County,Ohio,50.82,127,12.9,37.92,
OH-023,Clark County,Ohio,51.75,127,13.08,38.67,
OH-025,Clermont County,Ohio,50.96,114,8.13,42.83,
OH-027,Clinton County,Ohio,47.99,103,5.79,42.2,
OH-029,Columbiana County,Ohio,45.54,116,7.61,37.93,
OH-031,Coshocton County,Ohio,45.16,111,6.32,38.84,
OH-033,Crawford County,Ohio,43.71,112,6.24,37.47,
OH-035,Cuyahoga County,Ohio,40.09,92,4.23,35.86,
OH-037,Darke County,Ohio,47.31,119,9.43,37.88,
OH-039,Defiance County,Ohio,42.57,120,8.83,33.74,
OH-041,Delaware County,Ohio,46.59,120,8.63,37.96,
OH-043,Erie County,Ohio,35.36,68,0.84,34.52,
OH-045,Fairfield County,Ohio,49.4,123,9.64,39.76,
OH-047,Fayette County,Ohio,49.85,122,10.41,39.44,
OH-049,Franklin County,Ohio,47.52,121,9.21,38.31,
OH-051,Fulton County,Ohio,40.75,118,7.37,33.38,
OH-053,Gallia County,Ohio,48.77,113,7.52,41.25,
OH-055,Geauga County,Ohio,42.83,87,4.2,38.63,
OH-057,Greene County,Ohio,46.23,105,6.55,39.68,
OH-059,Guernsey County,Ohio,46.4,115,7.02,39.38,
OH-061,Hamilton County,Ohio,46.41,97,5.54,40.87,
OH-063,Hancock County,Ohio,37.2,86,2.34,34.86,
OH-065,Hardin County,Ohio,40.19,103,4.72,35.47,
OH-067,Harrison County,Ohio,47.76,120,8.3,39.46,
OH-069,Henry County,Ohio,41.66,119,7.87,33.79,
OH-071,Highland County,Ohio,53.76,124,11.23,42.53,
OH-073,Hocking County,Ohio,49.65,121,9.3,40.35,
OH-075,Holmes County,Ohio,44.22,111,6.04,38.18,
OH-077,Huron County,Ohio,39.47,92,3.42,36.05,
OH-079,Jackson County,Ohio,48.45,114,7.23,41.22,
OH-081,Jefferson County,Ohio,48.69,122,9.86,38.83,
OH-083,Knox County,Ohio,47.39,121,7.99,39.4,
OH-085,Lake County,Ohio,41.76,93,4.25,37.51,
OH-087,Lawrence County,Ohio,49.75,112,7.74,42.01,
OH-089,Licking County,Ohio,50.68,126,10.98,39.7,
OH-091,Logan County,Ohio,47.19,124,10.64,36.55,
OH-093,Lorain County,Ohio,38.28,90,3.55,34.73,
OH-095,Lucas County,Ohio,38.91,120,6.56,32.35,
OH-097,Madison County,Ohio,48.04,123,10.13,37.91,
OH-099,Mahoning County,Ohio,38.43,69,1.24,37.19,
OH-101,Marion County,Ohio,41.65,109,5.16,36.49,
OH-103,Medina County,Ohio,38.14,77,2.03,36.11,
OH-105,Meigs County,Ohio,48.96,118,8.35,40.61,
OH-107,Mercer County,Ohio,42.48,110,5.97,36.51,
OH-109,Miami County,Ohio,47.88,122,10.2,37.68,
OH-111,Monroe County,Ohio,49.42,107,7.08,42.34,
OH-113,Montgomery County,Ohio,45.41,107,6.5,38.91,
OH-115,Morgan County,Ohio,47.53,112,7.81,39.72,
OH-117,Morrow County,Ohio,46.16,116,7.03,39.13,
OH-119,Muskingum County,Ohio,47.98,121,8.89,39.09,
OH-121,Noble County,Ohio,46.19,106,5.62,40.57,
OH-123,Ottawa County,Ohio,35.43,87,2.58,32.85,
OH-125,Paulding County,Ohio,42.98,118,8.72,34.26,
OH-127,Perry County,Ohio,50.45,123,11.01,39.44,
OH-129,Pickaway County,Ohio,46.76,113,7.5,39.26,
OH-131,Pike County,Ohio,48.5,112,7.58,40.92,
OH-133,Portage County,Ohio,38.32,65,1.23,37.09,
OH-135,Preble County,Ohio,47.05,114,7.54,39.51,
OH-137,Putnam County,Ohio,40.85,113,6.54,34.31,
OH-139,Richland County,Ohio,44.93,113,6.84,38.09,
OH-141,Ross County,Ohio,48.16,114,7.95,40.21,
OH-143,Sandusky County,Ohio,37.05,94,3.3,33.75,
OH-145,Scioto County,Ohio,49.05,115,7.24,41.81,
OH-147,Seneca County,Ohio,38.79,93,3.32,35.47,
OH-149,Shelby County,Ohio,48.13,125,11.08,37.05,
OH-151,Stark County,Ohio,39.21,75,1.83,37.38,
OH-153,Summit County,Ohio,35.77,50,-0.41,36.18,
OH-155,Trumbull County,Ohio,39.69,71,1.94,37.75,
OH-157,Tuscarawas County,Ohio,44.1,108,5.58,38.52,
OH-159,Union County,Ohio,46.43,125,10.08,36.35,
OH-161,Van Wert County,Ohio,43.6,118,8.47,35.13,
OH-163,Vinton County,Ohio,48.58,118,7.89,40.69,
OH-165,Warren County,Ohio,45.69,90,4.15,41.54,
OH-167,Washington County,Ohio,45.09,92,4.26,40.83,
OH-169,Wayne County,Ohio,40.11,94,3.59,36.52,
OH-171,Williams County,Ohio,43.12,121,9.14,33.98,
OH-173,Wood County,Ohio,38.93,110,5.55,33.38,
OH-175,Wyandot County,Ohio,39.38,104,3.8,35.58,
OK-001,Adair County,Oklahoma,49.86,84,4.68,45.18,
OK-003,Alfalfa County,Oklahoma,23.9,37,-3.59,27.49,
OK-005,Atoka County,Oklahoma,35.35,27,-7.97,43.32,
OK-007,Beaver County,Oklahoma,14.71,13,-5.76,20.47,
OK-009,Beckham County,Oklahoma,16.96,13,-7.64,24.6,
OK-011,Blaine County,Oklahoma,19.89,12,-8.6,28.49,
OK-013,Bryan County,Oklahoma,32.38,22,-8.39,40.77,
OK-015,Caddo County,Oklahoma,23.57,19,-6.76,30.33,
OK-017,Canadian County,Oklahoma,26.43,30,-4.31,30.74,
OK-019,Carter County,Oklahoma,24.27,8,-12.27,36.54,
OK-021,Cherokee County,Oklahoma,51.3,97,7.68,43.62,
OK-023,Choctaw County,Oklahoma,36.3,25,-8.97,45.27,
OK-025,Cimarron County,Oklahoma,10.43,8,-6.09,16.52,
OK-027,Cleveland County,Oklahoma,28.61,28,-6.15,34.76,
OK-029,Coal County,Oklahoma,33.11,24,-8.31,41.42,
OK-031,Comanche County,Oklahoma,23.64,21,-6.3,29.94,
OK-033,Cotton County,Oklahoma,21.5,14,-8.46,29.96,
OK-035,Craig County,Oklahoma,35.98,24,-6.17,42.15,
OK-037,Creek County,Oklahoma,34.08,41,-3.47,37.55,
OK-039,Custer County,Oklahoma,17.49,3,-9.17,26.66,
OK-041,Delaware County,Oklahoma,48.15,88,4.5,43.65,
OK-043,Dewey County,Oklahoma,18.72,11,-7.68,26.4,
OK-045,Ellis County,Oklahoma,18.8,25,-4.63,23.43,
OK-047,Garfield County,Oklahoma,25.57,25,-4.96,30.53,
OK-049,Garvin County,Oklahoma,25.62,11,-10.24,35.86,
OK-051,Grady County,Oklahoma,26.82,28,-5.62,32.44,
OK-053,Grant County,Oklahoma,25.2,38,-4.53,29.73,
OK-055,Greer County,Oklahoma,16.37,6,-8.93,25.3,
OK-057,Harmon County,Oklahoma,15.35,6,-8.87,24.22,
OK-059,Harper County,Oklahoma,15.82,9,-7.37,23.19,
OK-061,Haskell County,Oklahoma,47.33,84,3.05,44.28,
OK-063,Hughes County,Oklahoma,35.07,35,-6.04,41.11,
OK-065,Jackson County,Oklahoma,17.14,12,-8.3,25.44,
OK-067,Jefferson County,Oklahoma,24.33,17,-8.24,32.57,
OK-069,Johnston County,Oklahoma,30.15,17,-9.42,39.57,
OK-071,Kay County,Oklahoma,26.95,23,-6.28,33.23,
OK-073,Kingfisher County,Oklahoma,24.13,22,-5.08,29.21,
OK-075,Kiowa County,Oklahoma,19.4,11,-8.04,27.44,
OK-077,Latimer County,Oklahoma,42.39,39,-4.26,46.65,
OK-079,Le Flore County,Oklahoma,47.75,66,0.4,47.35,
OK-081,Lincoln County,Oklahoma,32.02,39,-3.8,35.82,
OK-083,Logan County,Oklahoma,28.28,43,-3.35,31.63,
OK-085,Love County,Oklahoma,25.29,10,-10.58,35.87,
OK-087,McClain County,Oklahoma,27.04,23,-7.47,34.51,
OK-089,McCurtain County,Oklahoma,41.88,29,-7.6,49.48,
OK-091,McIntosh County,Oklahoma,43.05,70,1.2,41.85,
OK-093,Major County,Oklahoma,21.73,22,-5.84,27.57,
OK-095,Marshall County,Oklahoma,28.25,16,-10.24,38.49,
OK-097,Mayes County,Oklahoma,43.31,75,1.3,42.01,
OK-099,Murray County,Oklahoma,26.5,10,-11.65,38.15,
OK-101,Muskogee County,Oklahoma,47.29,90,4.96,42.33,
OK-103,Noble County,Oklahoma,29.19,38,-3.98,33.17,
OK-105,Nowata County,Oklahoma,30.66,17,-8.83,39.49,
OK-107,Okfuskee County,Oklahoma,34.96,45,-3.64,38.6,
OK-109,Oklahoma County,Oklahoma,28.96,37,-4,32.96,
OK-111,Okmulgee County,Oklahoma,38.12,62,-1.63,39.75,
OK-113,Osage County,Oklahoma,29.34,24,-6.67,36.01,
OK-115,Ottawa County,Oklahoma,43.77,70,1.36,42.41,
OK-117,Pawnee County,Oklahoma,28.35,22,-6.88,35.23,
OK-119,Payne County,Oklahoma,30.97,44,-3.48,34.45,
OK-121,Pittsburg County,Oklahoma,38.23,35,-6.29,44.52,
OK-123,Pontotoc County,Oklahoma,30.69,20,-8.74,39.43,
OK-125,Pottawatomie County,Oklahoma,32.07,38,-4.38,36.45,
OK-127,Pushmataha County,Oklahoma,39.76,26,-8.74,48.5,
OK-129,Roger Mills County,Oklahoma,16.93,11,-7.69,24.62,
OK-131,Rogers County,Oklahoma,36.57,49,-2.98,39.55,
OK-133,Seminole County,Oklahoma,34,40,-4.18,38.18,
OK-135,Sequoyah County,Oklahoma,51.45,95,6.57,44.88,
OK-137,Stephens County,Oklahoma,26.5,23,-6.51,33.01,
OK-139,Texas County,Oklahoma,11.38,5,-6.78,18.16,
OK-141,Tillman County,Oklahoma,19.1,14,-7.91,27.01,
OK-143,Tulsa County,Oklahoma,34.4,38,-4.06,38.46,
OK-145,Wagoner County,Oklahoma,42.98,81,2,40.98,
OK-147,Washington County,Oklahoma,30.94,22,-6.86,37.8,
OK-149,Washita County,Oklahoma,19.06,12,-7.94,27,
OK-151,Woods County,Oklahoma,20.77,24,-5,25.77,
OK-153,Woodward County,Oklahoma,19.04,17,-5.94,24.98,
OR-001,Baker County,Oregon,19.43,45,-1.69,21.12,
OR-003,Benton County,Oregon,65.01,99,6.88,58.13,
OR-005,Clackamas County,Oregon,84.92,107,10.62,74.3,
OR-007,Clatsop County,Oregon,96.48,91,7.38,89.1,
OR-009,Columbia County,Oregon,60.83,91,4.43,56.4,
OR-011,Coos County,Oregon,60.66,33,-8.15,68.81,
OR-013,Crook County,Oregon,12.85,44,-1.81,14.66,
OR-015,Curry County,Oregon,73.51,33,-12.55,86.06,
OR-017,Deschutes County,Oregon,21.5,53,-2.13,23.63,
OR-019,Douglas County,Oregon,50.51,54,-2.73,53.24,
