track,artist,genre,release_date,year,word_count,unique_words
Obsesion (No Es Amor) (feat. Baby Bash),Frankie J,dance_pop,2003,2003,565,204
Do You Want To,Franz Ferdinand,rock,2005-10-03,2005,376,98
1985,Freddie Gibbs,hip_hop,2020-05-29,2020,457,241
Love On My Mind (feat. Amanda Wilson),Freemasons,dance_pop,2007-10-29,2007,281,41
What We Do,Freeway,hip_hop,2003-01-01,2003,695,383
Unforgettable,French Montana,hip_hop,2017-07-14,2017,547,216
Dangerous Love,Fuse ODG,dance_pop,2014-01-01,2014,744,224
Drankin N Smokin,Future,hip_hop,2020-11-13,2020,625,264
Poppin' Them Thangs,G-Unit,hip_hop,2003-01-01,2003,814,324
Ugly Heart,G.R.L.,dance_pop,2014-06-03,2014,418,152
Out Of Reach,Gabrielle,dance_pop,2001-01-01,2001,214,98
Runaway (U & I),Galantis,dance_pop,2015-06-05,2015,288,77
Anyone of Us (Stupid Mistake),Gareth Gates,dance_pop,2002-07-11,2002,283,93
Give In to Me,Garrett Hedlund,country,2010-12-21,2010,161,73
Friends In Low Places - Live,Garth Brooks,country,2020-08-14,2020,251,97
Every Storm (Runs Out Of Rain),Gary Allan,country,2013,2013,249,115
Come Together,Gary Clark Jr.,rock,2017-09-08,2017,142,83
Not Over You,Gavin DeGraw,dance_pop,2011-09-16,2011,368,146
Farewell Party,Gene Watson,country,2009-01-01,2009,151,80
It's Raining Men,Geri Halliwell,dance_pop,2001-05-14,2001,275,120
Sarcasm,Get Scared,rock,2010-01-01,2010,483,146
Back Like That,Ghostface Killah,hip_hop,2006-01-01,2006,959,371
Like Me,Girlicious,dance_pop,2008-01-01,2008,597,155
Love Machine,Girls Aloud,dance_pop,2004-01-01,2004,434,193
Wild at Heart,Gloriana,country,2009-08-03,2009,297,133
I Stand Alone,Godsmack,rock,2003-04-08,2003,230,115
Stranded,Gojira,rock,2016-06-17,2016,151,61
Herside Story,GoldLink,hip_hop,2017-03-24,2017,539,186
Ooh La La,Goldfrapp,dance_pop,2005-08-17,2005,178,75
The Anthem,Good Charlotte,rock,2002-10-04,2002,335,152
Step Aside,Goodbye June,rock,2021-09-01,2021,194,98
Heaven On Dirt,Gord Bamford,country,2021-06-04,2021,249,133
Soulshine,Gov't Mule,rock,2001-10-23,2001,308,134
White Lines (Don't Do It),Grandmaster Flash,hip_hop,2006-05-01,2006,473,281
Backroad Song,Granger Smith,country,2016-03-04,2016,340,136
Pass the Shovel,Gravediggaz,hip_hop,2021-03-04,2021,670,372
Highway Tune,Greta Van Fleet,rock,2017-11-10,2017,133,65
Here for the Party,Gretchen Wilson,country,2004-05-11,2004,163,106
shut up,Greyson Chance,dance_pop,2019-03-15,2019,310,128
Black Hole,Griff,dance_pop,2021-06-18,2021,487,135
Oblivion,Grimes,dance_pop,2012-02-21,2012,228,93
Raspberry,Grouplove,rock,2013-09-17,2013,198,54
Tie Me Down (with Elley Duhé),Gryffin,dance_pop,2019-10-24,2019,516,358
Wake Up in the Sky,Gucci Mane,hip_hop,2018-12-07,2018,683,247
Keep Your Worries,Guru's Jazzmatazz,hip_hop,2000-01-01,2000,554,329
Luxurious,Gwen Stefani,dance_pop,2004-11-22,2004,537,190
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,dance_pop,2005-02-22,2005,587,240
Best Part (feat. Daniel Caesar),H.E.R.,dance_pop,2017-10-20,2017,346,243
1 Day 2 Nights,HRVY,dance_pop,2021-06-11,2021,359,102
WTF (feat. Amber Van Day),HUGEL,dance_pop,2018-11-30,2018,365,154
Starving,Hailee Steinfeld,dance_pop,2016-07-22,2016,289,84
You should be sad,Halsey,dance_pop,2020-01-17,2020,455,154
I've Been Thinking,Handsome Boy Modeling School,hip_hop,2004-09-01,2004,374,109
You'll Always Find Your Way Back Home,Hannah Montana,dance_pop,2009-01-01,2009,521,174
Save Me,Hanson,dance_pop,2000-01-01,2000,222,102
Hard to Beat,Hard-FI,rock,2005-06-27,2005,423,191
Power,Hardwell,dance_pop,2017-09-22,2017,130,51
Demons,Hayley Kiyoko,dance_pop,2019-10-11,2019,339,97
Johnny & June,Heidi Newfield,country,2008-08-05,2008,303,129
The Sun God,Hi-Tek,hip_hop,2020-01-08,2020,390,256
Make Your Move,Hieroglyphics,hip_hop,2003-01-01,2003,732,334
We're All In This Together,High School Musical Cast,dance_pop,2006-01-01,2006,511,195
Whatever It Takes,High Valley,country,2021-11-12,2021,297,123
Lydia,Highly Suspect,rock,2015-07-17,2015,335,154
So Yesterday,Hilary Duff,dance_pop,2003-01-01,2003,404,138
Daddy's Hands,Holly Dunn,country,2007-07-31,2007,195,101
Kiss Kiss,Holly Valance,dance_pop,2002-01-01,2002,483,150
Everywhere I Go,Hollywood Undead,rock,2008-09-02,2008,613,226
The Reason,Hoobastank,rock,2003-12-09,2003,243,88
You Should've Known,Hopsin,hip_hop,2019-01-28,2019,646,309
I Like It Like That (feat. New Boyz),Hot Chelle Rae,dance_pop,2011-11-25,2011,579,203
Sedona,Houndmouth,rock,2015-03-16,2015,270,125
The Power Of Love,Huey Lewis & The News,rock,2017-10-25,2017,309,136
Saint,Huncho Jack,hip_hop,2017-12-21,2017,380,196
Wanted,Hunter Hayes,country,2011,2011,293,114
Choke,I DONT KNOW HOW BUT THEY FOUND ME,rock,2018-08-24,2018,200,86
ONCE UPON A TIME (FREESTYLE),IDK,hip_hop,2018-11-09,2018,502,310
Flashbacks,INNA,dance_pop,2020-12-04,2020,233,97
I Love It,Icona Pop,dance_pop,2012-01-01,2012,330,76
Black Widow,Iggy Azalea,dance_pop,2014-01-01,2014,564,233
All Good,Illa J,hip_hop,2008-11-11,2008,197,118
Dancing On Dangerous (feat. Sofía Reyes),Imanbek,dance_pop,2021-04-09,2021,268,127
Leaving the Past,Immortal Technique,hip_hop,2003-11-18,2003,614,342
Wish You Were Here,Incubus,rock,2001-10-23,2001,181,83
My Honest Face,Inhaler,rock,2021-07-09,2021,250,117
Three Man Weave,Injury Reserve,hip_hop,2019-05-17,2019,455,193
City High,Inspectah Deck,hip_hop,2003-06-10,2003,537,338
Obstacle 1,Interpol,rock,2002-08-20,2002,329,113
RIP Young,Isaiah Rashad,hip_hop,2021-07-30,2021,587,242
Summer Air,ItaloBrothers,dance_pop,2017-04-28,2017,312,92
Solo,Iyaz,dance_pop,2009-08-18,2009,446,141
Workinonit,J Dilla,hip_hop,2006-02-07,2006,112,60
Don't Play,J-Live,hip_hop,2001-06-28,2001,523,289
No Role Modelz,J. Cole,hip_hop,2014-12-09,2014,814,321
Empire State Of Mind,JAY-Z,hip_hop,2009-09-08,2009,764,383
151 Rum,JID,hip_hop,2018-11-26,2018,461,231
Beat Again - Radio Edit,JLS,dance_pop,2009-11-09,2009,307,126
BALD!,JPEGMAFIA,hip_hop,2020-11-06,2020,322,198
Slow Motion,JUVENILE,hip_hop,2003-01-01,2003,853,267
Livin' It Up,Ja Rule,hip_hop,2001-01-01,2001,787,305
No One Compares To You,Jack & Jack,dance_pop,2019-01-25,2019,347,135
Taking Me Back,Jack White,rock,2021-10-18,2021,208,93
B.E.D.,Jacquees,dance_pop,2018-09-07,2018,568,144
Why,Jadakiss,hip_hop,2004-01-01,2004,679,284
Where the Party At (feat. Nelly),Jagged Edge,hip_hop,2001-07-03,2001,802,373
Lightning Bolt,Jake Bugg,rock,2012-01-01,2012,287,142
Barefoot Blue Jean Night,Jake Owen,country,2011-08-26,2011,300,137
More Than Friends,James Hype,dance_pop,2017-09-22,2017,316,119
Just Got Started Lovin' You,James Otto,country,2008-04-07,2008,311,124
Cold Beer Calling My Name,Jameson Rodgers,country,2021-09-17,2021,456,178
In Color,Jamey Johnson,country,2008-01-01,2008,337,154
Blame It,Jamie Foxx,hip_hop,2008-12-11,2008,747,256
Somebody's Hero,Jamie O'Neal,country,2005-01-01,2005,306,175
Sticks 'N' Stones,Jamie T,rock,2009-01-01,2009,799,299
Virtual Insanity - Remastered,Jamiroquai,dance_pop,2006-11-06,2006,505,205
Voices,Jana Kramer,country,2021-09-24,2021,313,107
Just Because,Jane's Addiction,rock,2003-01-01,2003,132,61
Make Me Feel,Janelle Monáe,dance_pop,2018-04-27,2018,445,127
All For You,Janet Jackson,dance_pop,2001-01-01,2001,833,191
Pray for You,Jaron And The Long Road To Love,country,2010,2010,301,149
If I Didn't Love You,Jason Aldean,country,2021-11-12,2021,402,136
Acapulco,Jason Derulo,dance_pop,2021-09-03,2021,231,109
Alyssa Lies,Jason Michael Carroll,country,2007-02-06,2007,301,156
All Day And Night,Jax Jones,dance_pop,2019-07-12,2019,327,110
Think Twice,Jay Dee,hip_hop,2001,2001,64,44
A.P.I.D.T.A.,Jay Electronica,hip_hop,2020-03-13,2020,643,245
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,hip_hop,2018-01-12,2018,145,99
Do You Remember,Jay Sean,dance_pop,2009-01-01,2009,676,227
The Official,Jaylib,hip_hop,2003,2003,370,204
Girl Like Me (feat. H.E.R.),Jazmine Sullivan,dance_pop,2021-01-08,2021,526,371
"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni",Jazz Liberatorz,hip_hop,2008-01-21,2008,279,85
Design in Malice,Jedi Mind Tricks,hip_hop,2011-10-25,2011,574,292
Back (feat. Yo Gotti),Jeezy,hip_hop,2020-11-20,2020,551,379
"Long, Slow Kisses",Jeff Bates,country,2003-05-20,2003,286,148
I Put a Spell on You (feat. Joss Stone),Jeff Beck,rock,2010-03-10,2010,157,73
Spotlight,Jennifer Hudson,dance_pop,2008-09-26,2008,384,160
On The Floor,Jennifer Lopez,dance_pop,2011-01-01,2011,650,246
Unlove You,Jennifer Nettles,country,2016-05-13,2016,247,135
Don't Tell 'Em,Jeremih,dance_pop,2015-12-04,2015,795,229
Drink to That All Night,Jerrod Niemann,country,2014-03-21,2014,401,138
Don't Be so Hard on Yourself,Jess Glynne,dance_pop,2015,2015,456,148
Beautiful Soul,Jesse McCartney,dance_pop,2004-01-01,2004,366,109
Who I Am,Jessica Andrews,country,2000-02-27,2000,325,96
Glow,Jessica Mauboy,dance_pop,2021-11-12,2021,380,104
Us,Jessica Sanchez,dance_pop,2021-05-06,2021,191,69
With You,Jessica Simpson,dance_pop,2003,2003,377,137
Domino,Jessie J,dance_pop,2011-01-01,2011,403,120
Should Have Known Better,Jessie James Decker,country,2021-08-20,2021,296,116
Say You Love Me,Jessie Ware,dance_pop,2014-08-04,2014,283,120
Boyz (feat. Nicki Minaj),Jesy Nelson,dance_pop,2021-10-08,2021,532,377
Look What You've Done,Jet,rock,2003-09-15,2003,212,78
Sativa,Jhené Aiko,dance_pop,2017-09-22,2017,600,200
Golden,Jill Scott,hip_hop,2004-08-31,2004,498,93
We Fly High,Jim Jones,hip_hop,2006-11-07,2006,657,352
The Middle,Jimmy Eat World,rock,2001-07-17,2001,273,106
Do You Believe Me Now,Jimmy Wayne,country,2008-01-01,2008,290,108
Too Little Too Late,JoJo,dance_pop,2006-10-17,2006,527,166
I Wanna Know,Joe,dance_pop,2000-04-18,2000,522,169
Pump It Up,Joe Budden,hip_hop,2003-06-10,2003,768,295
Brokenheartsville,Joe Nichols,country,2002-01-01,2002,259,107
Head & Heart (feat. MNEK),Joel Corry,dance_pop,2020-07-03,2020,354,288
OG,Joell Ortiz,hip_hop,2021-11-12,2021,528,281
When I'm Gone,Joey + Rory,country,2012-01-01,2012,173,119
Love Is Only a Feeling,Joey Bada$$,hip_hop,2017-07-06,2017,363,201
Friday Night Blues,John Conlee,country,2008-01-01,2008,344,130
Forever Young,John De Sohn,dance_pop,2019-11-29,2019,272,90
Centerfield,John Fogerty,rock,2010-06-29,2010,260,131
Song To Sing When I'm Lonely,John Frusciante,rock,2004-02-24,2004,240,140
if we never met,John K,dance_pop,2020-11-12,2020,255,96
Head Over Boots,Jon Pardi,country,2016-05-13,2016,303,108
Don’t Wake Me Up,Jonas Blue,dance_pop,2022-01-07,2022,370,147
Sucker,Jonas Brothers,dance_pop,2019-06-07,2019,441,113
Tattoo,Jordin Sparks,dance_pop,2007-11-19,2007,472,164
Be Honest,Jorja Smith,dance_pop,2019-11-20,2019,527,217
Love Like,Josh Gracin,country,2021-09-03,2021,338,207
Blame It On Waylon,Josh Thompson,country,2010-02-22,2010,289,95
Would You Go With Me,Josh Turner,country,2006,2006,249,108
Ramen & OJ,Joyner Lucas,hip_hop,2021-04-30,2021,878,355
It's A Trip!,Joywave,rock,2017-07-28,2017,235,73
Verano Azul,Juan Magán,dance_pop,2009-01-01,2009,411,185
Dancing In The Moonlight (feat. NEIMY),Jubël,dance_pop,2018-06-22,2018,150,53
There It Go (The Whistle Song),Juelz Santana,hip_hop,2005-01-01,2005,442,171
Pop That Trunk,Juicy J,hip_hop,2022-02-11,2022,691,239
Issues,Julia Michaels,dance_pop,2017-07-28,2017,392,109
Wake Up Older,Julie Roberts,country,2004-01-01,2004,206,102
Brain,Jungle Brothers,hip_hop,2003-05-15,2003,814,363
What's Golden,Jurassic 5,hip_hop,2002-01-01,2002,496,254
Que Sera,Justice Crew,dance_pop,2012,2012,342,128
The Ones That Didn’t Make It Back Home,Justin Moore,country,2019-07-26,2019,343,135
Mirrors,Justin Timberlake,dance_pop,2013-03-15,2013,990,208
Comfortable,K CAMP,hip_hop,2014-09-04,2014,529,190
Can't Raise a Man,K. Michelle,dance_pop,2013-08-05,2013,345,145
High Enough,K.Flay,rock,2017-04-07,2017,359,145
Reborn,KIDS SEE GHOSTS,hip_hop,2018-06-08,2018,590,175
What a Nigga Know?,KMD,hip_hop,2015-12-18,2015,624,321
What You've Done To Me (feat. Bemendé),KREAM,dance_pop,2021-09-24,2021,339,63
Everyday I Love You Less And Less,Kaiser Chiefs,rock,2005,2005,320,113
telepatía,Kali Uchis,dance_pop,2020-12-04,2020,289,131
Undo My Heart,Karen Harding,dance_pop,2020-06-12,2020,230,69
Hello,Karmin,dance_pop,2012-05-07,2012,580,198
Club Foot,Kasabian,rock,2004,2004,245,97
Run The Show (feat. Busta Rhymes),Kat Deluna,dance_pop,2007,2007,545,325
Katy on a Mission,Katy B,dance_pop,2011-04-04,2011,411,128
Last Friday Night (T.G.I.F.),Katy Perry,dance_pop,2010-01-01,2010,447,155
Somewhere Only We Know,Keane,rock,2004-01-01,2004,280,100
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance_pop,2019-02-22,2019,560,304
I Still Miss You,Keith Anderson,country,2008-05-30,2008,330,126
One Too Many,Keith Urban,country,2020-09-18,2020,434,178
Millionaire,Kelis,dance_pop,2003-12-05,2003,420,168
When You Lie Next To Me,Kellie Coffey,country,2002-05-06,2002,250,101
Didn't You Know How Much I Loved You,Kellie Pickler,country,2008-09-30,2008,333,117
Stronger (What Doesn't Kill You),Kelly Clarkson,dance_pop,2011-10-24,2011,413,127
One Word,Kelly Osbourne,dance_pop,2005,2005,359,87
Like This (feat. Eve),Kelly Rowland,dance_pop,2002,2002,723,267
I Quit Drinking,Kelsea Ballerini,country,2021-06-09,2021,348,154
HUMBLE.,Kendrick Lamar,hip_hop,2017-04-14,2017,599,227
Get Along,Kenny Chesney,country,2018-07-27,2018,322,132
Pretty Girl Rock,Keri Hilson,dance_pop,2010-01-01,2010,660,188
TiK ToK,Kesha,dance_pop,2010-01-01,2010,490,181
Peach,Kevin Abstract,hip_hop,2019-04-25,2019,393,152
Long Line of Losers,Kevin Fowler,country,2007-09-25,2007,224,112
Let It Rock,Kevin Rudolf,dance_pop,2008-01-01,2008,470,202
Gang Shit No Lame Shit,Key Glock,hip_hop,2018-11-23,2018,350,191
Let It Go,Keyshia Cole,dance_pop,2007-01-01,2007,930,322
Can't Feel My Face,Kiana Ledé,dance_pop,2021-12-17,2021,497,116
Pursuit Of Happiness (Nightmare),Kid Cudi,hip_hop,2009-01-01,2009,443,168
Promise (feat. Fetty Wap),Kid Ink,dance_pop,2015-12-25,2015,266,191
Gold,Kiiara,dance_pop,2020-10-09,2020,624,86
Coconuts,Kim Petras,dance_pop,2021-12-03,2021,313,129
Anti-Matter,King Geedorah,hip_hop,2003-06-17,2003,558,334
1950,King Princess,dance_pop,2018-02-23,2018,301,98
Sex on Fire,Kings of Leon,rock,2008-09-23,2008,144,88
Somethin' 'Bout A Truck,Kip Moore,country,2012-01-01,2012,328,127
Sameolemeek,Knxwledge,hip_hop,2020-04-06,2020,429,267
Super Gremlin,Kodak Black,hip_hop,2022-02-08,2022,616,271
Poppa Large,Kool Keith,hip_hop,2004,2004,624,344
Outside,Kota the Friend,hip_hop,2021-04-21,2021,579,235
Goodbye,Kristinia DeBarge,dance_pop,2009-01-01,2009,374,139
A Second to Midnight,Kylie Minogue,dance_pop,2021-11-12,2021,387,158
oh baby,LCD Soundsystem,rock,2017-09-01,2017,191,95
Shots,LMFAO,dance_pop,2009-01-01,2009,513,182
Bulletproof,La Roux,dance_pop,2009,2009,270,112
Black Coffee,Lacy J. Dalton,country,2006-01-01,2006,193,68
Need You Now,Lady A,country,2010-01-01,2010,316,128
Shallow,Lady Gaga,dance_pop,2018-10-05,2018,226,101
Rolling Stone,Laidback Luke,dance_pop,2020-09-04,2020,290,96
The LP,Large Professor,hip_hop,2009-07-01,2009,390,224
Road Less Traveled,Lauren Alaina,country,2017-01-27,2017,385,122
I Like Me Better,Lauv,dance_pop,2018-05-31,2018,299,112
Can't Fight The Moonlight,LeAnn Rimes,country,2001-01-30,2001,373,130
I May Hate Myself In The Morning,Lee Ann Womack,country,2005-01-01,2005,205,127
Memory I Don't Mess With,Lee Brice,country,2020-11-20,2020,290,109
God Bless The USA,Lee Greenwood,country,2008-12-15,2008,268,115
Bleeding Love,Leona Lewis,dance_pop,2007,2007,393,139
Everything's Electric,Liam Gallagher,rock,2022-02-04,2022,262,134
Familiar (With J. Balvin),Liam Payne,dance_pop,2019-12-06,2019,509,363
"Smile (Living My Best Life) (feat. Snoop Dogg, Ball Greezy & Midnight Star)",Lil Duval,hip_hop,2018-07-03,2018,592,193
Snap Yo Fingers,Lil Jon,dance_pop,2006-05-02,2006,693,259
Get Low,Lil Jon & The East Side Boyz,hip_hop,2002-10-29,2002,959,274
Love Me,Lil Wayne,hip_hop,2013-01-01,2013,780,233
Yacht Club (feat. Juice WRLD),Lil Yachty,hip_hop,2018-10-19,2018,304,172
Magic Stick,Lil' Kim,hip_hop,2003-03-03,2003,616,270
Smile,Lily Allen,dance_pop,2006-05-08,2006,398,135
Rumors,Lindsay Lohan,dance_pop,2004-01-01,2004,473,159
Broken - Single Version,Lindsey Haun,country,2006-08-21,2006,227,109
Boondocks,Little Big Town,country,2005-01-01,2005,474,129
Remedy,Little Boots,dance_pop,2008-06-08,2008,352,101
The Way You Do It,Little Brother,hip_hop,2002-01-01,2002,461,234
Black Magic,Little Mix,dance_pop,2015-11-06,2015,565,169
God Blessed Texas,Little Texas,country,2007-06-26,2007,153,99
Truth Hurts,Lizzo,dance_pop,2019-04-19,2019,528,201
Swimming Pools,Lloyd,dance_pop,2012-06-13,2012,447,169
"Beamer, Benz, Or Bentley",Lloyd Banks,hip_hop,2010-01-01,2010,748,313
Wolf Like Me,Local H,rock,2010-10-19,2010,400,195
1-800-273-8255,Logic,hip_hop,2017-05-05,2017,567,183
I'm Already There,Lonestar,country,2001-03-27,2001,292,139
Your Side Of The Bed,Loote,dance_pop,2018-06-15,2018,410,125
When We Were Young,Lost Kings,dance_pop,2018-05-11,2018,318,99
Body,Loud Luxury,dance_pop,2018-03-02,2018,439,105
Angel Eyes,Love and Theft,country,2012-07-24,2012,287,105
Perfect (feat. Haris),Lucas & Steve,dance_pop,2020-10-16,2020,261,95
Act A Fool,Ludacris,hip_hop,2003-01-01,2003,855,373
Play It Again,Luke Bryan,country,2013-01-01,2013,444,171
Forever After All,Luke Combs,country,2020-10-23,2020,319,156
Battle Scars,Lupe Fiasco,hip_hop,2012-09-25,2012,644,228
GED (Gettin Every Dolla),Lute,hip_hop,2021-10-04,2021,526,258
How Does It Feel,M-22,dance_pop,2018-08-17,2018,260,86
Paper Planes,M.I.A.,dance_pop,2007-01-01,2007,433,132
Bad Vibe,M.O,dance_pop,2020-06-26,2020,629,178
Ante Up (Robbin Hoodz Theory),M.O.P.,hip_hop,2000-08-29,2000,711,351
The Day You Went Away,M2M,dance_pop,2000-02-15,2000,329,130
Primadonna,MARINA,dance_pop,2012-04-27,2012,406,145
Butterflies,MAX,dance_pop,2021-06-25,2021,338,129
Can't Hold On,MED,hip_hop,2005-05-31,2005,317,223
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,hip_hop,2004-11-16,2004,572,318
Little Dark Age,MGMT,rock,2018-02-09,2018,319,152
Twisted,MISSIO,rock,2017-05-19,2017,261,58
17,MK,dance_pop,2017-09-01,2017,274,42
American Dream,MKTO,dance_pop,2012,2012,501,177
Ride Wit Me,MOTi,dance_pop,2021-02-19,2021,460,187
Mad Love,Mabel,dance_pop,2019-08-02,2019,502,113
The Spins,Mac Miller,hip_hop,2010-08-13,2010,488,281
Is There Anybody Out There?,Machine Head,rock,2016-06-03,2016,425,154
Nothin' But The Cavi Hit,Mack 10,hip_hop,2007-01-01,2007,700,372
Don't Worry (feat. Ray Dalton),Madcon,dance_pop,2015-02-20,2015,314,216
Die From A Broken Heart,Maddie & Tae,country,2020-04-10,2020,317,149
Uber Everywhere,MadeinTYO,hip_hop,2016-02-26,2016,306,140
Good In Goodbye,Madison Beer,dance_pop,2021-02-26,2021,313,111
Slim's Return,Madlib,hip_hop,2003-06-24,2003,96,61
Frozen,Madonna,dance_pop,2021-12-03,2021,227,87
All Caps,Madvillain,hip_hop,2004-03-24,2004,290,201
What You Did (feat. Ella Mai),Mahalia,dance_pop,2019-09-06,2019,571,392
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance_pop,2018-10-19,2018,686,353
Motorcycle Emptiness,Manic Street Preachers,rock,2002-10-28,2002,206,111
The Bones,Maren Morris,country,2019-03-08,2019,333,123
We Belong Together,Mariah Carey,dance_pop,2005-01-01,2005,507,212
Let Me Love You,Mario,dance_pop,2004-03-15,2004,508,183
In Time,Mark Collie,country,2004-01-01,2004,150,80
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance_pop,2019-06-21,2019,406,131
Three's Company,Marley Marl,hip_hop,2001,2001,414,179
Scared to Be Lonely,Martin Garrix,dance_pop,2017-01-27,2017,316,115
Solo Dance,Martin Jensen,dance_pop,2016-11-04,2016,220,84
Hello,Martin Solveig,dance_pop,2011-01-01,2011,354,94
Concrete Angel,Martina McBride,country,2001-04-08,2001,246,120
Be Without You - Kendu Mix,Mary J. Blige,dance_pop,2005-01-01,2005,547,200
Before I Knew It,Mason Ramsey,country,2019-07-26,2019,370,129
Be Easy,Massari,dance_pop,2006-01-01,2006,636,165
Da Grind (Featuring Apocalypse),Masta Ace,hip_hop,2004-08-03,2004,555,268
Blood and Thunder,Mastodon,rock,2004-08-31,2004,154,102
False Alarm,Matoma,dance_pop,2018-08-24,2018,280,92
Books From Boxes,Maximo Park,rock,2007-04-01,2007,324,156
Somebody That I Used To Know,Mayday Parade,rock,2012-11-06,2012,350,137
All About You,McFly,dance_pop,2005-01-01,2005,257,90
Going Bad (feat. Drake),Meek Mill,hip_hop,2018-11-30,2018,426,235
Thot Shit,Megan Thee Stallion,dance_pop,2021-10-29,2021,879,344
All About That Bass,Meghan Trainor,dance_pop,2015-01-09,2015,462,143
First Day of My Life,Melanie C,dance_pop,2005-09-30,2005,251,108
Monday Morning,Melanie Fiona,dance_pop,2009-01-01,2009,142,94
Infatuated,Memphis Bleek,hip_hop,2005-01-01,2005,606,255
Part II,Method Man,hip_hop,2001-01-01,2001,760,343
Space Cadet (feat. Gunna),Metro Boomin,hip_hop,2018-11-06,2018,358,209
Whiskey And Rain,Michael Ray,country,2020-09-25,2020,296,112
Goodbye to You,Michelle Branch,dance_pop,2001-07-31,2001,317,121
Say Yes (ft. Beyoncé & Kelly Rowland),Michelle Williams,dance_pop,2014-09-09,2014,385,66
Jazz,Mick Jenkins,hip_hop,2014-08-12,2014,702,300
Walk It Talk It,Migos,hip_hop,2018-01-26,2018,1193,346
Sky Walker (feat. Travis Scott),Miguel,dance_pop,2017-12-01,2017,346,241
Vibe,Mike Candys,dance_pop,2021-06-18,2021,584,275
Still Tippin' (feat. Slim Thug and Paul Wall),Mike Jones,hip_hop,2005-04-19,2005,839,320
One Life,Mike Perry,dance_pop,2019-09-27,2019,283,90
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance_pop,2016-05-06,2016,187,150
23,Mike WiLL Made-It,hip_hop,2013-01-01,2013,605,196
Come Closer,Miles Kane,rock,2011-05-02,2011,139,63
Party In The U.S.A.,Miley Cyrus,dance_pop,2009-01-01,2009,482,184
Good Without,Mimi Webb,dance_pop,2021-10-22,2021,346,134
Bluebird,Miranda Lambert,country,2019-11-01,2019,323,115
Get Ur Freak On,Missy Elliott,hip_hop,2001-05-14,2001,566,173
Ran into You,Mitch Rossell,country,2021-03-30,2021,268,98
Truth About You,Mitchell Tenpenny,country,2021-09-10,2021,378,144
Float On,Modest Mouse,rock,2004,2004,318,141
Time Today,Moneybagg Yo,hip_hop,2021-04-23,2021,604,283
So Gone,Monica,dance_pop,2003,2003,444,163
Where I Come From,Montgomery Gentry,country,2011-10-14,2011,335,167
Happy?,Mudvayne,rock,2005,2005,299,113
Bad Man!,Murs,hip_hop,2004-03-23,2004,883,358
Uprising,Muse,rock,2009-09-10,2009,230,116
Just Friends (Sunny),Musiq Soulchild,dance_pop,2000-01-01,2000,411,151
Real Girl,Mutya Buena,dance_pop,2007-01-01,2007,492,145
Teenagers,My Chemical Romance,rock,2006-10-23,2006,312,121
Golden,My Morning Jacket,rock,2003-09-09,2003,160,117
Danger (Been So Long) featuring Nivea,Mystikal,hip_hop,2000-09-26,2000,639,268
New Moon,MØ,dance_pop,2022-01-28,2022,450,125
Case Of The Ex (Whatcha Gonna Do),Mýa,dance_pop,2000,2000,772,222
Playing With Fire,N-Dubz,dance_pop,2009-01-01,2009,637,222
Lemon,N.E.R.D,hip_hop,2017-12-15,2017,632,253
Oye Mi Canto,N.O.R.E.,hip_hop,2006-07-18,2006,591,308
Champion (feat. Travis Scott),NAV,hip_hop,2018-05-18,2018,413,236
Gotta Be You,NERVO,dance_pop,2021-01-08,2021,297,105
Let You Down,NF,hip_hop,2017-10-06,2017,609,223
So Close,NOTD,dance_pop,2018-11-02,2018,399,98
Wave Gods,Nas,hip_hop,2021-12-24,2021,680,334
Problem,Natalia Kills,dance_pop,2013-01-01,2013,448,169
Torn - Acoustic MTV Unplugged,Natalie Imbruglia,dance_pop,2001-11-20,2001,340,149
Love Like This (feat. Sean Kingston),Natasha Bedingfield,dance_pop,2007-04-27,2007,754,235
Music & Me,Nate Dogg,hip_hop,2001-12-04,2001,271,129
I Don't Wanna Go To Heaven,Nate Smith,country,2021-11-19,2021,264,102
Lighter (feat. KSI),Nathan Dawe,dance_pop,2020-07-24,2020,302,196
S.O.B.,Nathaniel Rateliff & The Night Sweats,rock,2015-08-21,2015,303,101
Miss Independent,Ne-Yo,dance_pop,2008-01-01,2008,454,161
Wish You Were Here,Neck Deep,rock,2017-08-18,2017,435,167
Heart Of Gold,Neil Young,rock,2010-01-01,2010,160,60
Lil Bit (feat. Florida Georgia Line),Nelly,hip_hop,2021-08-27,2021,625,190
Maneater,Nelly Furtado,dance_pop,2006-01-01,2006,602,142
Everybody Talks,Neon Trees,rock,2012-01-01,2012,298,116
You're a Jerk,New Boyz,dance_pop,2009-09-15,2009,731,260
Harlem,New Politics,rock,2013-05-17,2013,297,89
Slow Hands,Niall Horan,dance_pop,2017-10-20,2017,287,104
This Is Heaven,Nick Jonas,dance_pop,2021-03-12,2021,422,144
Starships,Nicki Minaj,dance_pop,2011-01-01,2011,386,158
